Hotel Name,Location,Rating,Room Score,Room Type,Bed Type,Price,City,Country,twins,fulls,queen,king,sofa beds,bunk beds,futon beds,Number of bed
Norn Rimklong,Bangkok Noi,9.1,9.5,Superior King Room with City View,1 king bed,71.164,Bangkok Noi,Thailand,0,0,0,1,0,0,0,1
Koh Mak Ao Kao White Sand Beach,Ko Mak,8.5,8.8,Villa with Garden View,1 king bed,165.943,Ko Mak,Thailand,0,0,0,1,0,0,0,1
Novotel Bangkok Bangna,Bangna,8.0,8.5,Standard Queen Room,1 queen bed,101.34,Bangna,Thailand,0,0,1,0,0,0,0,1
Citadines Grand Central Sri Racha - SHA Extra Plus,Si Racha,8.8,9.2,Studio Executive,1 queen bed,105.408,Si Racha,Thailand,0,0,1,0,0,0,0,1
Citadines Grand Central Sri Racha - SHA Extra Plus,Si Racha,8.8,9.2,Studio Executive,1 queen bed,105.408,Si Racha,Thailand,0,0,1,0,0,0,0,1
The Beach Resort & Residence - SHA Plus,Pathiu,8.0,8.6,Studio,Multiple bed types,142.02100000000002,Pathiu,Thailand,0,0,0,0,0,0,0,0
Baan Dara Resort,Sara Buri,7.5,0.0,Superior Bungalow,"2 beds (1 twin, 1 queen)",51.109,Sara Buri,Thailand,1,0,1,0,0,0,0,2
Baan Dara Resort,Sara Buri,7.5,0.0,Superior Bungalow,"2 beds (1 twin, 1 queen)",51.109,Sara Buri,Thailand,1,0,1,0,0,0,0,2
Forgotten Hostel Silom,"Silom, Bang Rak",8.5,8.9,Standard Twin Room,2 twin beds,82.46000000000001,Bangkok,Thailand,2,0,0,0,0,0,0,2
Pullman Phuket Arcadia Karon Beach Resort,Karon Beach,8.4,8.9,Superior Twin Room with Garden View,2 twin beds,274.954,Phuket,Thailand,2,0,0,0,0,0,0,2
The Proud Exclusive Hotel-SHA Plus,Nakhon Pathom,7.7,8.2,Superior,1 king bed,63.806000000000004,Nakhon Pathom,Thailand,0,0,0,1,0,0,0,1
Maewin Guest House and Resort,Ban Huai Rin,9.3,8.9,Standard Double Room,1 full bed,90.57300000000001,Ban Huai Rin,Thailand,0,1,0,0,0,0,0,1
Keeree Loft Resort,Thong Pha Phum,7.2,0.0,Standard Double or Twin Room,Multiple bed types,98.401,Thong Pha Phum,Thailand,0,0,0,0,0,0,0,0
Maehaad Bay Resort - SHA Plus,Mae Haad,7.9,8.5,Standard Double or Twin Room,   1 double or 2 twins,160.50300000000001,Mae Haad,Thailand,2,0,0,0,0,0,0,2
Maehaad Bay Resort - SHA Plus,Mae Haad,7.9,8.5,Standard Double or Twin Room,   1 double or 2 twins,160.50300000000001,Mae Haad,Thailand,2,0,0,0,0,0,0,2
SK Resort Pattaya,Bang Lamung,8.0,8.3,Standard Queen Room,1 king bed,41.34,Bang Lamung,Thailand,0,0,0,1,0,0,0,1
Nuch's Apple Guest House,Si Bun Ruang,9.2,9.5,Double Room with Garden View,1 queen bed,40.758,Si Bun Ruang,Thailand,0,0,1,0,0,0,0,1
Coriacea Beachfront Boutique Phuket Resort - SHA Plus,Mai Khao Beach,8.1,8.4,Deluxe Twin Room,2 twin beds,121.44500000000001,Mai Khao Beach,Thailand,2,0,0,0,0,0,0,2
Coriacea Beachfront Boutique Phuket Resort - SHA Plus,Mai Khao Beach,8.1,8.4,Deluxe Twin Room,2 twin beds,121.44500000000001,Mai Khao Beach,Thailand,2,0,0,0,0,0,0,2
Green Ville Laguna Hotel,Sung Noen,8.9,9.2,Deluxe Twin Room,2 twin beds,139.159,Sung Noen,Thailand,2,0,0,0,0,0,0,2
Slive Hotel,Surin,8.8,9.4,Deluxe Twin Room,2 twin beds,102.86500000000001,Surin,Thailand,2,0,0,0,0,0,0,2
Slive Hotel,Surin,8.8,9.4,Deluxe Twin Room,2 twin beds,102.86500000000001,Surin,Thailand,2,0,0,0,0,0,0,2
The Wisdom Residence,Bung Kan,7.8,8.1,King Room with Balcony,1 king bed,42.052,Bung Kan,Thailand,0,0,0,1,0,0,0,1
Summit Windmill Golf Residence,Bangna,8.3,8.8,Presidential Duplex Suite,"4 beds (2 twins, 2 queens)",1585.91,Bangna,Thailand,2,0,2,0,0,0,0,4
Coco Pina,Prachuap Khiri Khan,9.4,9.5,Two-Bedroom Suite,"3 beds (2 twins, 1 queen)",196.436,Prachuap Khiri Khan,Thailand,2,0,1,0,0,0,0,3
Cross Vibe Chiang Mai Decem Nimman Hotel - formerly X2 Vibe Chiang Mai Decem - SHA Extra Plus,"Chang Phueak, Chiang Mai",8.4,9.0,Deluxe Room,   1 double or 2 twins,79.518,Chiang Mai,Thailand,2,0,0,0,0,0,0,2
Sugar Marina Resort -AVIATOR- Phuket Airport - SHA Extra Plus,Nai Yang Beach,7.7,8.1,Deluxe Room (Exclude Airport Transfer),Multiple bed types,97.20100000000001,Nai Yang Beach,Thailand,0,0,0,0,0,0,0,0
Sunsuri Phuket - SHA Plus,Nai Harn Beach,8.5,8.8,Superior King or Twin Room,Multiple bed types,245.964,Nai Harn Beach,Thailand,0,0,0,0,0,0,0,0
,Yasothon,7.8,8.0,Standard King Room,1 king bed,37.847,Yasothon,Thailand,0,0,0,1,0,0,0,1
Mae Sot Commune,Mae Sot,9.9,9.8,Tent,2 twin beds,2.588,Mae Sot,Thailand,2,0,0,0,0,0,0,2
Mae Sot Commune,Mae Sot,9.9,9.8,Tent,2 twin beds,2.588,Mae Sot,Thailand,2,0,0,0,0,0,0,2
Thepchamrat Boutique Hotel,Uttaradit,8.1,8.4,Queen Room with Balcony,1 king bed,37.847,Uttaradit,Thailand,0,0,0,1,0,0,0,1
Thepchamrat Boutique Hotel,Uttaradit,8.1,8.4,Queen Room with Balcony,1 king bed,37.847,Uttaradit,Thailand,0,0,0,1,0,0,0,1
Rancho Charnvee Resort & Country Club Khaoyai,Pak Chong,8.4,8.7,One Bedroom Villa,1 queen bed,435.139,Pak Chong,Thailand,0,0,1,0,0,0,0,1
Phu Fahsai Homestay,Mon Jam,8.1,8.5,Tent,1 queen bed,97.042,Mon Jam,Thailand,0,0,1,0,0,0,0,1
Chivapuri Beach Resort,"Klong Kloi Beach, Ko Chang",8.4,8.9,Superior Double Room,1 king bed,241.22,Ko Chang,Thailand,0,0,0,1,0,0,0,1
Coco Bella Hotel,"Loh Dalum Bay, Phi Phi Islands",7.4,0.0,Superior Double Room with Pool View,1 full bed,165.758,Phi Phi Islands,Thailand,0,1,0,0,0,0,0,1
"Holiday Inn Express Bangkok Siam, an IHG Hotel - SHA Extra Plus","Pathumwan, Bangkok",7.8,8.3,Standard Double or Twin Room,1 full bed,185.08700000000002,Bangkok,Thailand,0,1,0,0,0,0,0,1
Mida Resort Kanchanaburi - SHA PLUS,Sai Yok,8.0,8.2,Tent River View,2 futon beds,110.462,Sai Yok,Thailand,0,0,0,0,0,0,2,2
P.L.P Guesthouse - Mae Hong Son,Mae Hong Son,7.8,8.0,Standard Twin Room with Fan,2 twin beds,20.689,Mae Hong Son,Thailand,2,0,0,0,0,0,0,2
Star 3 Residence,Rayong,8.4,8.7,Standard Double A,1 full bed,39.464,Rayong,Thailand,0,1,0,0,0,0,0,1
"Holiday Inn Resort Phuket, an IHG Hotel - SHA Extra Plus",Patong Beach,8.9,9.3,1 King Premium Villa Pool View Adults Only,1 king bed,539.928,Phuket,Thailand,0,0,0,1,0,0,0,1
Mövenpick Myth Hotel Patong Phuket,Patong Beach,8.8,9.1,Classic King Room with Pool View,1 king bed,238.447,Phuket,Thailand,0,0,0,1,0,0,0,1
Mek Kiri Riverkwai Resort SHA,Thong Pha Phum,7.0,0.0,Superior Twin Room with Garden View,2 twin beds,89.293,Thong Pha Phum,Thailand,2,0,0,0,0,0,0,2
Ibis Hua Hin,"Khao Takiab, Hua Hin",7.8,8.1,Standard Double Room,1 queen bed,90.262,Hua Hin,Thailand,0,0,1,0,0,0,0,1
Thai Smile serviced Appartments,Nong Prue,8.0,0.0,Deluxe Double or Twin Room with Balcony,"3 beds (2 twins, 1 full)",24.473,Nong Prue,Thailand,2,1,0,0,0,0,0,3
Thai Smile serviced Appartments,Nong Prue,8.0,0.0,Deluxe Double or Twin Room with Balcony,"3 beds (2 twins, 1 full)",24.473,Nong Prue,Thailand,2,1,0,0,0,0,0,3
Oakwood Hotel & Residence Bangkok SHA Plus Certified,"Sathorn, Bangkok",8.1,8.5,Superior Double or Twin Room,   1 double or 2 twins,169.304,Bangkok,Thailand,2,0,0,0,0,0,0,2
Sugar Marina Resort - NAUTICAL - Kata Beach - SHA plus,"Kata Noi Beach, Kata Beach",8.3,8.5,Deluxe Double or Twin Room,Multiple bed types,151.622,Kata Beach,Thailand,0,0,0,0,0,0,0,0
Fortune Hotel Korat- SHA Plus,Nakhon Ratchasima,8.0,8.2,Superior Double or Twin Room with City View,   1 double or 2 twins,79.113,Nakhon Ratchasima,Thailand,2,0,0,0,0,0,0,2
Fortune Hotel Korat- SHA Plus,Nakhon Ratchasima,8.0,8.2,Superior Double or Twin Room with City View,   1 double or 2 twins,79.113,Nakhon Ratchasima,Thailand,2,0,0,0,0,0,0,2
Hop Inn Mukdahan,Mukdahan,8.2,8.5,Standard Double Room,1 full bed,36.876,Mukdahan,Thailand,0,1,0,0,0,0,0,1
Hop Inn Mukdahan,Mukdahan,8.2,8.5,Standard Double Room,1 full bed,36.876,Mukdahan,Thailand,0,1,0,0,0,0,0,1
New Hut Bungalow,Lamai,8.3,8.1,Bungalow with Garden View and  Fan and Shared Bathroom,2 twin beds,34.288000000000004,Lamai,Thailand,2,0,0,0,0,0,0,2
New Hut Bungalow,Lamai,8.3,8.1,Bungalow with Garden View and  Fan and Shared Bathroom,2 twin beds,34.288000000000004,Lamai,Thailand,2,0,0,0,0,0,0,2
Lam-tong Resort,Don Sak,8.4,8.2,Deluxe Double Room,1 queen bed,45.286,Don Sak,Thailand,0,0,1,0,0,0,0,1
Kuiburi Hotel & Resort,Kui Buri,7.1,0.0,Villa with Garden View,1 queen bed,195.79500000000002,Kui Buri,Thailand,0,0,1,0,0,0,0,1
lyf Sukhumvit 8 Bangkok Managed by The Ascott Limited,"Khlong Toei, Bangkok",8.6,9.1,One of a Kind,1 queen bed,125.44200000000001,Bangkok,Thailand,0,0,1,0,0,0,0,1
Maikhao Palm Beach Resort - SHA Plus,Mai Khao Beach,7.5,8.2,Deluxe Double or Twin Room with Sea View,1 full bed,269.13100000000003,Mai Khao Beach,Thailand,0,1,0,0,0,0,0,1
Maikhao Palm Beach Resort - SHA Plus,Mai Khao Beach,7.5,8.2,Deluxe Double or Twin Room with Sea View,1 full bed,269.13100000000003,Mai Khao Beach,Thailand,0,1,0,0,0,0,0,1
"Valia Hotel Bangkok, Sukhumvit 24","Khlong Toei, Bangkok",8.5,9.1,Deluxe - Tower 2,1 king bed,230.63,Bangkok,Thailand,0,0,0,1,0,0,0,1
Green Terrace Resort,Chanthaburi,8.3,8.8,Poolside Room,1 full bed,85.913,Chanthaburi,Thailand,0,1,0,0,0,0,0,1
Papangkorn House,Suratthani,8.1,8.5,Deluxe Double Room,1 full bed,43.669000000000004,Suratthani,Thailand,0,1,0,0,0,0,0,1
Sheraton Hua Hin Pranburi Villas,"Pak Nam Pran, Pran Buri",8.5,8.7,Villa with Private Pool,1 queen bed,553.554,Pran Buri,Thailand,0,0,1,0,0,0,0,1
Sunprime Kamala Beach - SHA Plus,Kamala Beach,8.6,9.0,Grand Deluxe Pool View Room,   1 double or 2 twins,252.957,Kamala Beach,Thailand,2,0,0,0,0,0,0,2
Sunprime Kamala Beach - SHA Plus,Kamala Beach,8.6,9.0,Grand Deluxe Pool View Room,   1 double or 2 twins,252.957,Kamala Beach,Thailand,2,0,0,0,0,0,0,2
Phi Phi The Beach Resort- SHA Certified,"Long Beach, Phi Phi Islands",8.5,8.7,Superior Villa with Partial Sea View-Free Transfer to Tonsai Pier,1 full bed,340.20300000000003,Phi Phi Islands,Thailand,0,1,0,0,0,0,0,1
I love phants Lodge,Ban Huai Thawai,8.8,8.6,Twin Room with Garden View,2 twin beds,252.957,Ban Huai Thawai,Thailand,2,0,0,0,0,0,0,2
The ShellSea Krabi-SHA Extra Plus,Ao Nam Mao,8.6,9.1,Shellsea Garden,   1 double or 2 twins,360.998,Krabi,Thailand,2,0,0,0,0,0,0,2
The Bed Hotel,Roi Et,8.0,8.4,Standard King Room,1 king bed,42.052,Roi Et,Thailand,0,0,0,1,0,0,0,1
ibis Styles Bangkok Sukhumvit Phra Khanong,"Khlong Toei, Bangkok",8.2,8.7,Standard Twin Room,2 twin beds,111.566,Bangkok,Thailand,2,0,0,0,0,0,0,2
Jomtien Hostel,Jomtien Beach,7.9,8.1,Standard Double Room,1 full bed,33.538000000000004,Pattaya,Thailand,0,1,0,0,0,0,0,1
Baansuan Resort,Don Sak,7.8,8.1,Deluxe Bungalow with Garden View,1 king bed,51.756,Don Sak,Thailand,0,0,0,1,0,0,0,1
Pullman Khon Kaen Raja Orchid,Khon Kaen,8.2,8.7,Superior Twin Room,"3 beds (2 twins, 1 futon)",125.767,Khon Kaen,Thailand,2,0,0,0,0,0,0,3
Aziss Boutique Hotel - SHA Plus,Phitsanulok,9.0,9.3,Deluxe King Room,1 king bed,46.249,Phitsanulok,Thailand,0,0,0,1,0,0,0,1
Ibis Pattaya,Pattaya,7.8,8.2,Standard Twin Room,2 twin beds,68.016,Pattaya,Thailand,2,0,0,0,0,0,0,2
Garrya Tongsai Bay Samui - SHA Extra Plus,Choeng Mon Beach,9.4,9.5,Beachfront Suites,1 queen bed,717.517,Choeng Mon Beach,Thailand,0,0,1,0,0,0,0,1
Ibis Bangkok Riverside,"Riverside, Bangkok",8.0,8.3,Twin Room,2 twin beds,102.899,Bangkok,Thailand,2,0,0,0,0,0,0,2
Sea Seeker Krabi Resort - SHA Plus,Ao Nang Beach,8.7,8.9,Deluxe Double or Twin Room with Sea View,Multiple bed types,180.9,Krabi,Thailand,0,0,0,0,0,0,0,0
ibis Bangkok Sathorn,"Sathorn, Bangkok",8.2,8.5,Superior Queen Room,1 queen bed,72.699,Bangkok,Thailand,0,0,1,0,0,0,0,1
Bkk39 Airport hotel,Ban Khlong Prawet,6.5,0.0,Deluxe Double Room with Balcony,"2 beds (1 king, 1 sofa bed)",51.176,Ban Khlong Prawet,Thailand,0,0,0,1,0,0,0,2
Myplace@Surat Hotel,Suratthani,7.9,8.0,Double Room with Fan,1 full bed,25.813,Suratthani,Thailand,0,1,0,0,0,0,0,1
Songthai Suvarnabhumi,Ban Khlong Si,8.9,9.0,Twin Room with Balcony,2 twin beds,89.926,Ban Khlong Si,Thailand,2,0,0,0,0,0,0,2
Somerset Harbourview Sri Racha - SHA Extra Plus,Si Racha,9.2,9.5,Studio Apartment,1 king bed,120.202,Si Racha,Thailand,0,0,0,1,0,0,0,1
Somerset Harbourview Sri Racha - SHA Extra Plus,Si Racha,9.2,9.5,Studio Apartment,1 king bed,120.202,Si Racha,Thailand,0,0,0,1,0,0,0,1
Tup Kaek Sunset Beach Resort-SHA Plus,Tab Kaek Beach,8.3,8.7,Deluxe Garden View,1 full bed,272.336,Tab Kaek Beach,Thailand,0,1,0,0,0,0,0,1
Lee Hotel,Suratthani,8.3,8.6,One-Bedroom Suite,1 king bed,91.867,Suratthani,Thailand,0,0,0,1,0,0,0,1
Seaview Resort Khao Lak - SHA Plus,"Nang Thong Beach, Khao Lak",8.3,8.7,Deluxe Double or Twin Room with Garden View,Multiple bed types,159.427,Khao Lak,Thailand,0,0,0,0,0,0,0,0
Grand Mercure Phuket Patong,Patong Beach,8.5,8.9,Superior Twin Room,2 twin beds,261.556,Phuket,Thailand,2,0,0,0,0,0,0,2
Blu Monkey Hub & Hotel Suratthani - SHA PLUS Certificate,Suratthani,8.4,8.8,Standard King Room,1 king bed,75.75,Suratthani,Thailand,0,0,0,1,0,0,0,1
Prana Resort Samui,Bangrak Beach,9.2,9.5,Cozy Deluxe Room,Multiple bed types,273.174,Bangrak Beach,Thailand,0,0,0,0,0,0,0,0
Guesthouse Phuket Airport,Ban Bo Han,7.2,0.0,Deluxe Double Room (2 Adults + 1 Child),1 king bed,55.389,Ban Bo Han,Thailand,0,0,0,1,0,0,0,1
"The Standard, Hua Hin",Hua Hin,8.7,9.3,Standard King Room,1 king bed,451.26,Hua Hin,Thailand,0,0,0,1,0,0,0,1
Thanyachatra Boutique,Phetchaburi,7.9,8.1,Deluxe Double Room with Balcony,1 queen bed,42.052,Phetchaburi,Thailand,0,0,1,0,0,0,0,1
Unity Hotel,Si Sa Ket,8.4,8.8,Double Room,1 full bed,51.756,Si Sa Ket,Thailand,0,1,0,0,0,0,0,1
VIC 3 Bangkok - SHA Plus,"Phaya Thai, Bangkok",8.0,8.2,Flash Sales Studio Room Only,   1 double or 2 twins,109.877,Bangkok,Thailand,2,0,0,0,0,0,0,2
"Holiday Inn Express Bangkok Soi Soonvijai, an IHG Hotel","Huai Khwang, Bangkok",7.7,8.1,Standard Double Room,1 queen bed,130.717,Bangkok,Thailand,0,0,1,0,0,0,0,1
Sea Valley Resort,Lipa Noi,8.6,8.8,Villa with Private Pool and Sea View,1 queen bed,381.7,Ko Samui,Thailand,0,0,1,0,0,0,0,1
Pai Village Boutique Resort,Pai,9.0,9.2,Boutique Village,1 full bed,167.406,Mae Hong Son,Thailand,0,1,0,0,0,0,0,1
Kim Jek Cin 2 Hotel - 2,Mukdahan,7.6,0.0,Standard Double Room,1 king bed,23.843,Mukdahan,Thailand,0,0,0,1,0,0,0,1
Kim Jek Cin 2 Hotel - 2,Mukdahan,7.6,0.0,Standard Double Room,1 king bed,23.843,Mukdahan,Thailand,0,0,0,1,0,0,0,1
Railay Bay Resort & Spa-SHA Extra Plus,Railay Beach,7.9,8.2,One Bedroom Luxury Pool Villa,"2 beds (1 sofa bed, 1 queen)",1122.92,Railay Beach,Thailand,0,0,1,0,0,0,0,2
SUNRAY Guesthouse ,Uthai Thani,7.1,0.0,Deluxe Double Room,1 full bed,67.606,Uthai Thani,Thailand,0,1,0,0,0,0,0,1
The Joy Beach Villas,Hinkong,9.2,9.4,One-Bedroom Villa,"2 beds (1 full, 1 sofa bed)",404.344,Hinkong,Thailand,0,1,0,0,0,0,0,2
SAii Phi Phi Island Village,"Loh Bagao Bay, Phi Phi Islands",8.5,8.9,Deluxe Premium Bungalow 1 King,1 king bed,543.711,Phi Phi Islands,Thailand,0,0,0,1,0,0,0,1
JP Emerald Hotel,Yasothon,5.6,0.0,Superior Twin Room,2 twin beds,53.296,Yasothon,Thailand,2,0,0,0,0,0,0,2
Pugdee Hotel,Lang Suan,7.6,0.0,Standard Double Room,1 full bed,45.286,Lang Suan,Thailand,0,1,0,0,0,0,0,1
Dusit Thani Pattaya - SHA Extra Plus,North Pattaya,8.3,8.6,One Bedroom Suite Twin,2 twin beds,435.265,Pattaya,Thailand,2,0,0,0,0,0,0,2
Ramada Plaza by Wyndham Chao Fah Phuket,Phuket,8.1,8.9,Deluxe Twin Room,2 twin beds,125.884,Phuket,Thailand,2,0,0,0,0,0,0,2
Avani Plus Mai Khao Phuket Suites,Mai Khao Beach,9.0,9.4,One Bedroom Suite,"2 beds (1 king, 1 sofa bed)",515.793,Mai Khao Beach,Thailand,0,0,0,1,0,0,0,2
Avani Plus Mai Khao Phuket Suites,Mai Khao Beach,9.0,9.4,One Bedroom Suite,"2 beds (1 king, 1 sofa bed)",515.793,Mai Khao Beach,Thailand,0,0,0,1,0,0,0,2
Sand Sea Resort Railay Beach,Railay Beach,7.4,0.0,Tropical Villa Double Bed (Sunrise Wing),"2 beds (1 king, 1 sofa bed)",232.90200000000002,Railay Beach,Thailand,0,0,0,1,0,0,0,2
Chiangkham Grand Villa - SHA Certified,Chiang Kham,7.9,8.2,Superior Double or Twin Room,Multiple bed types,64.048,Chiang Kham,Thailand,0,0,0,0,0,0,0,0
Rajapruek Samui Resort - SHA Plus,Lipa Noi,7.1,0.0,Deluxe Double Room,1 king bed,108.882,Ko Samui,Thailand,0,0,0,1,0,0,0,1
"Hotel Indigo Bangkok Wireless Road, an IHG Hotel","Pathumwan, Bangkok",8.9,9.4,Standard Room,   1 double or 2 twins,308.628,Bangkok,Thailand,2,0,0,0,0,0,0,2
Siam Boutique Hotel,Buriram,7.3,0.0,Standard Double Room,1 full bed,34.935,Buriram,Thailand,0,1,0,0,0,0,0,1
Pinky Bungalow Resort - SHA Extra Plus,"Klong Khong Beach, Ko Lanta",8.7,9.0,Luxury Room,1 king bed,63.632,Ko Lanta,Thailand,0,0,0,1,0,0,0,1
Crystal Resort Korat,Nakhon Ratchasima,8.1,8.4,Presidential Suite,"3 beds (1 king, 2 sofa beds)",49.492000000000004,Nakhon Ratchasima,Thailand,0,0,0,1,2,0,0,3
Crystal Resort Korat,Nakhon Ratchasima,8.1,8.4,Presidential Suite,"3 beds (1 king, 2 sofa beds)",49.492000000000004,Nakhon Ratchasima,Thailand,0,0,0,1,2,0,0,3
"Nakara Hotel, Ubon Ratchathani",Ban Na Kham,8.7,9.0,Deluxe Double Room,1 queen bed,60.351,Ban Na Kham,Thailand,0,0,1,0,0,0,0,1
The Sriracha Residence,Si Racha,8.2,8.4,   Triple Room,"2 beds (1 twin, 1 king)",79.852,Si Racha,Thailand,1,0,0,1,0,0,0,2
The Sriracha Residence,Si Racha,8.2,8.4,   Triple Room,"2 beds (1 twin, 1 king)",79.852,Si Racha,Thailand,1,0,0,1,0,0,0,2
Lanta Sand Resort & Spa,"Long Beach, Ko Lanta",8.4,8.7,Beach Front Pool Access,1 queen bed,253.788,Ko Lanta,Thailand,0,0,1,0,0,0,0,1
"Divalux Resort & Spa Bangkok, Suvarnabhumi Airport",Lat Krabang,7.4,8.0,Deluxe Twin Room,2 twin beds,103.502,Lat Krabang,Thailand,2,0,0,0,0,0,0,2
"Divalux Resort & Spa Bangkok, Suvarnabhumi Airport",Lat Krabang,7.4,8.0,Deluxe Twin Room,2 twin beds,103.502,Lat Krabang,Thailand,2,0,0,0,0,0,0,2
Coco Palm Beach Resort - SHA Extra Plus,Mae Nam,8.0,8.0,Superior Bungalow,   1 double or 2 twins,142.329,Ko Samui,Thailand,2,0,0,0,0,0,0,2
"Phulay Bay, A Ritz-Carlton Reserve",Tab Kaek Beach,9.7,9.9,Reserve Pool Villa,2 king beds,2427.065,Tab Kaek Beach,Thailand,0,0,0,2,0,0,0,2
"Chanalai Flora Resort, Kata Beach - SHA Plus",Kata Beach,8.5,8.7,Superior Double or Twin Room,Multiple bed types,180.038,Kata Beach,Thailand,0,0,0,0,0,0,0,0
"Chanalai Flora Resort, Kata Beach - SHA Plus",Kata Beach,8.5,8.7,Superior Double or Twin Room,Multiple bed types,180.038,Kata Beach,Thailand,0,0,0,0,0,0,0,0
Cape Dara Resort - SHA Plus,North Pattaya,8.6,8.9,Top Star Duplex Suite with Club Benefits,2 king beds,1909.796,Pattaya,Thailand,0,0,0,2,0,0,0,2
Niwas Ayutthaya,Phra Nakhon Si Ayutthaya,8.1,8.0,Superior Double Room,1 queen bed,73.752,Phra Nakhon Si Ayutthaya,Thailand,0,0,1,0,0,0,0,1
Sindhorn Kempinski Hotel Bangkok - SHA Extra Plus,"Pathumwan, Bangkok",9.4,9.6,Executive Club Twin Room,2 twin beds,1267.65,Bangkok,Thailand,2,0,0,0,0,0,0,2
The Living Hotel SamutPrakan,Bang Bo,8.2,8.3,Deluxe Double Room with Balcony,1 king bed,52.209,Bang Bo,Thailand,0,0,0,1,0,0,0,1
Sunwing Kamala Beach - SHA Plus,Kamala Beach,8.8,9.3,Studio with Pool View,   1 double or 2 twins,296.75600000000003,Kamala Beach,Thailand,2,0,0,0,0,0,0,2
Sunwing Kamala Beach - SHA Plus,Kamala Beach,8.8,9.3,Studio with Pool View,   1 double or 2 twins,296.75600000000003,Kamala Beach,Thailand,2,0,0,0,0,0,0,2
Salad Buri Resort- SHA Extra Plus,Salad Beach,7.6,8.0,Premier Double Room,1 queen bed,127.354,Ko Phangan,Thailand,0,0,1,0,0,0,0,1
The Pride Hotel Phitsanulok,Ban Ko,8.9,9.2,Superior Twin Room,2 twin beds,116.45100000000001,Ban Ko,Thailand,2,0,0,0,0,0,0,2
Chantaramas Resort,Baan Khai,8.1,8.5,Deluxe Double Room,1 king bed,169.131,Baan Khai,Thailand,0,0,0,1,0,0,0,1
Salad Beach Resort - SHA Extra Plus,Salad Beach,7.8,8.1,Standard Double Room,1 queen bed,89.556,Ko Phangan,Thailand,0,0,1,0,0,0,0,1
Hyatt Regency Koh Samui- SHA Extra Plus,Chaweng,9.1,9.4,1 Bedroom Regency Suite,1 king bed,746.202,Chaweng,Thailand,0,0,0,1,0,0,0,1
Patravana Resort,Phayayen,7.8,8.0,Vana Country View Suite,Multiple bed types,121.233,Nakhon Ratchasima,Thailand,0,0,0,0,0,0,0,0
dusitD2 Chiang Mai - SHA Extra Plus,"Chang Moi, Chiang Mai",8.5,8.8,Club Deluxe King,1 king bed,228.459,Chiang Mai,Thailand,0,0,0,1,0,0,0,1
Four Seasons Resort Chiang Mai -SHA Plus,Mae Rim,9.4,9.6,One Bedroom Residence,"3 beds (2 twins, 1 king)",4804.68,Mae Rim,Thailand,2,0,0,1,0,0,0,3
Four Seasons Resort Chiang Mai -SHA Plus,Mae Rim,9.4,9.6,One Bedroom Residence,"3 beds (2 twins, 1 king)",4804.68,Mae Rim,Thailand,2,0,0,1,0,0,0,3
ibis Styles Bangkok Silom,"Bang Rak, Bangkok",8.6,9.1,Standard Twin Room,2 twin beds,125.551,Bangkok,Thailand,2,0,0,0,0,0,0,2
SKYVIEW Resort Phuket Patong Beach - SHA Extra Plus,Patong Beach,8.9,9.4,Garden Studio,   1 double or 2 twins,238.38,Phuket,Thailand,2,0,0,0,0,0,0,2
Cholchan Pattaya Beach Resort - SHA Extra Plus,Na Kluea,7.2,0.0,Superior Double or Twin Room with Garden View,   1 double or 2 twins,328.774,Na Kluea,Thailand,2,0,0,0,0,0,0,2
Cholchan Pattaya Beach Resort - SHA Extra Plus,Na Kluea,7.2,0.0,Superior Double or Twin Room with Garden View,   1 double or 2 twins,328.774,Na Kluea,Thailand,2,0,0,0,0,0,0,2
ibis Styles Bangkok Ratchada,"Huai Khwang, Bangkok",8.3,8.6,Standard Queen Room,1 full bed,131.916,Bangkok,Thailand,0,1,0,0,0,0,0,1
Sasitara Thai Villas,Choeng Mon Beach,8.5,8.5,Family Villa,"2 beds (1 twin, 1 full)",206.506,Choeng Mon Beach,Thailand,1,1,0,0,0,0,0,2
"Bandara Resort and Spa, Samui","Fisherman Village, Bophut",8.4,8.7,Deluxe Double or Twin Room with Balcony,Multiple bed types,265.05,Bophut,Thailand,0,0,0,0,0,0,0,0
"Bandara Resort and Spa, Samui","Fisherman Village, Bophut",8.4,8.7,Deluxe Double or Twin Room with Balcony,Multiple bed types,265.05,Bophut,Thailand,0,0,0,0,0,0,0,0
The Royal Bamboo Lodges - SHA Certified,Khao Sok National Park,8.4,8.5,Double Room with Garden View,Multiple bed types,64.048,Surat Thani,Thailand,0,0,0,0,0,0,0,0
Cassia Phuket - SHA Extra Plus,"Laguna Phuket, Bang Tao Beach",8.3,8.7,One-Bedroom Suite,1 queen bed,318.142,Bang Tao Beach,Thailand,0,0,1,0,0,0,0,1
7 Days Premium Hotel Don Meaung Airport,Ban Don Muang,8.2,8.6,Superior Twin Room,2 twin beds,76.694,Don Muang,Thailand,2,0,0,0,0,0,0,2
The Midst@ Royal hills Nakornayok,Nakhon Nayok,8.6,9.0,Two-Bedroom House,"4 beds (2 twins, 1 king, 1 sofa bed)",333.075,Nakhon Nayok,Thailand,2,0,0,1,0,0,0,4
