Hotel Name,Location,Rating,Room Score,Room Type,Bed Type,Price,City,Country,twins,fulls,queen,king,sofa beds,bunk beds,futon beds,Number of bed
Tiki Beach Koh Phangan,Ban Tai,8.0,0.0,Deluxe Bungalow with Garden View,"2 beds (1 twin, 1 full)",166.733,Ko Phangan,Thailand,1,1,0,0,0,0,0,2
Coconut Beach Bungalows,Chaloklum,9.3,9.2,Two-Bedroom Bungalow,2 queen beds,339.875,Ko Phangan,Thailand,0,0,2,0,0,0,0,2
Venice Krabi Villa Resort- SHA Plus,Ao Nam Mao,8.9,9.6,Lagoon Grand Deluxe Twin,2 twin beds,203.026,Krabi,Thailand,2,0,0,0,0,0,0,2
O2 Hotel Lopburi,Lop Buri,7.6,8.2,Superior King Room,1 king bed,54.991,Lop Buri,Thailand,0,0,0,1,0,0,0,1
Hotel Agnes,Buriram,8.8,9.2,Large Twin Room,Multiple bed types,93.161,Buriram,Thailand,0,0,0,0,0,0,0,0
The Dorm Hostel,Ban Lo Long,8.7,8.9,Bunk Bed in Mixed Dormitory Room,1 queen bed,40.269,Not specified,Thailand,0,0,1,0,0,0,0,1
Somerset Pattaya - SHA Plus,Pattaya,8.9,9.3,Deluxe Twin Room,2 twin beds,323.004,Pattaya,Thailand,2,0,0,0,0,0,0,2
Inpawa Hotel,Ban Phai,8.2,8.6,Superior Double Room,1 queen bed,77.634,Khon Kaen,Thailand,0,0,1,0,0,0,0,1
Chiangkhong Teak Garden Riverfront Onsen Hotel- SHA Extra Plus,Chiang Khong,8.3,8.7,Resort Garden View,Multiple bed types,87.809,Chiang Rai,Thailand,0,0,0,0,0,0,0,0
Island Escape by Burasari - SHA Extra Plus,Phuket,8.5,9.2,Deluxe Room with Schedule Boat Transfer,   1 double or 2 twins,318.817,Phuket,Thailand,2,0,0,0,0,0,0,2
  Double D hotel,Pak Kret,8.6,8.9,Deluxe King Room,1 king bed,86.756,Nonthaburi,Thailand,0,0,0,1,0,0,0,1
"Tawaravadee Resort, BW Signature Collection","304 Industrial Park, Si Maha Phot",8.2,8.8,Superior Double Room,1 full bed,88.52,Prachin Buri,Thailand,0,1,0,0,0,0,0,1
Lub d Phuket Patong,Patong Beach,8.1,8.4,Junior Twin Room,2 twin beds,85.926,Phuket,Thailand,2,0,0,0,0,0,0,2
The Waters Khao Lak by Katathani - SHA Extra Plus,"Bang Niang Beach, Khao Lak",8.7,9.0,Upper Pool Access Room,   1 double or 2 twins,157.856,Phang Nga,Thailand,2,0,0,0,0,0,0,2
VILLA DEVA RESORT AND HOTEL,"Sathorn, Thung Maha Mek",9.7,9.7,Deluxe Twin Pool View,2 twin beds,511.09000000000003,Bangkok,Thailand,2,0,0,0,0,0,0,2
VILLA DEVA RESORT AND HOTEL,"Sathorn, Thung Maha Mek",9.7,9.7,Deluxe Twin Pool View,2 twin beds,511.09000000000003,Bangkok,Thailand,2,0,0,0,0,0,0,2
Panviman Chiang Mai Spa Resort,Mae Rim,8.7,8.9,Valley Deluxe Double Room,1 king bed,191.486,Mae Rim,Thailand,0,0,0,1,0,0,0,1
Panviman Chiang Mai Spa Resort,Mae Rim,8.7,8.9,Valley Deluxe Double Room,1 king bed,191.486,Mae Rim,Thailand,0,0,0,1,0,0,0,1
Napa Hotel Ratchaburi,Ratchaburi,8.5,8.8,Superior Twin Room,2 twin beds,78.558,Ratchaburi,Thailand,2,0,0,0,0,0,0,2
Napa Hotel Ratchaburi,Ratchaburi,8.5,8.8,Superior Twin Room,2 twin beds,78.558,Ratchaburi,Thailand,2,0,0,0,0,0,0,2
Centre Point Hotel Terminal21 Korat,Nakhon Ratchasima,8.9,9.4,Deluxe King Room 2 Pax,1 king bed,124.492,Nakhon Ratchasima,Thailand,0,0,0,1,0,0,0,1
Centre Point Hotel Terminal21 Korat,Nakhon Ratchasima,8.9,9.4,Deluxe King Room 2 Pax,1 king bed,124.492,Nakhon Ratchasima,Thailand,0,0,0,1,0,0,0,1
Fortune River View Hotel Nakhon Phanom,Nakhon Phanom,8.2,8.6,Deluxe River View Room,2 twin beds,153.903,Nakhon Phanom,Thailand,2,0,0,0,0,0,0,2
Fortune River View Hotel Nakhon Phanom,Nakhon Phanom,8.2,8.6,Deluxe River View Room,2 twin beds,153.903,Nakhon Phanom,Thailand,2,0,0,0,0,0,0,2
Fortune Riverview Hotel Chiang Khong,Chiang Khong,8.0,8.5,Superior Double or Twin Room with Pool View,Multiple bed types,113.11800000000001,Chiang Rai,Thailand,0,0,0,0,0,0,0,0
"Holiday Inn Resort Samui Bophut Beach, an IHG Hotel","Fisherman Village, Bophut",8.7,9.2,Standard King Room with Balcony,1 king bed,245.388,Bophut,Thailand,0,0,0,1,0,0,0,1
"Holiday Inn Resort Samui Bophut Beach, an IHG Hotel","Fisherman Village, Bophut",8.7,9.2,Standard King Room with Balcony,1 king bed,245.388,Bophut,Thailand,0,0,0,1,0,0,0,1
Outrigger Khao Lak Beach Resort - SHA Extra Plus,"Bangsak Beach, Khao Lak",9.2,9.6,Deluxe Garden Balcony - King Bed,1 king bed,173.243,Khao Lak,Thailand,0,0,0,1,0,0,0,1
Outrigger Khao Lak Beach Resort - SHA Extra Plus,"Bangsak Beach, Khao Lak",9.2,9.6,Deluxe Garden Balcony - King Bed,1 king bed,173.243,Khao Lak,Thailand,0,0,0,1,0,0,0,1
Outrigger Koh Samui Beach Resort - SHA Extra Plus,Lamai,8.5,9.1,Superior Balcony -King Bed,1 king bed,225.835,Lamai,Thailand,0,0,0,1,0,0,0,1
Outrigger Koh Samui Beach Resort - SHA Extra Plus,Lamai,8.5,9.1,Superior Balcony -King Bed,1 king bed,225.835,Lamai,Thailand,0,0,0,1,0,0,0,1
